Package Name,License Type,Version,Link,Country of Origin,Description
phoenix,MIT,~> 1.7.0,https://github.com/phoenixframework/phoenix,USA,"Productive web framework that does not compromise speed or maintainability"
phoenix_html,MIT,~> 3.3,https://github.com/phoenixframework/phoenix_html,USA,"Phoenix.HTML functions for working with HTML strings and templates"
phoenix_live_view,MIT,~> 0.20.0,https://github.com/phoenixframework/phoenix_live_view,USA,"Rich interactive web applications without writing JavaScript"
phoenix_live_reload,MIT,~> 1.4,https://github.com/phoenixframework/phoenix_live_reload,USA,"Provides live-reload functionality for Phoenix during development"
jason,Apache-2.0,~> 1.4,https://github.com/michalmuskala/jason,Poland,"Fast JSON parser and generator optimized for speed"
plug_cowboy,Apache-2.0,~> 2.6,https://github.com/elixir-plug/plug_cowboy,Brazil,"Adapter for the Cowboy web server to work with Plug"
gnat,MIT,~> 1.8,https://github.com/nats-io/nats.ex,USA,"Elixir client for NATS messaging system"
protobuf,MIT,~> 0.12.0,https://github.com/elixir-protobuf/protobuf,China,"Pure Elixir implementation of Google Protocol Buffers"
h3,Apache-2.0,~> 3.7,https://github.com/helium/erlang-h3,USA,"Erlang/Elixir bindings for Uber's H3 hexagonal hierarchical geospatial indexing system"
cowboy,ISC,~> 2.10 (transitive),https://github.com/ninenines/cowboy,France,"Small fast modular HTTP server written in Erlang"
cowlib,ISC,~> 2.12 (transitive),https://github.com/ninenines/cowlib,France,"Support library for manipulating Web protocols"
ranch,ISC,~> 1.8 (transitive),https://github.com/ninenines/ranch,France,"Socket acceptor pool for TCP protocols"
plug,Apache-2.0,~> 1.15 (transitive),https://github.com/elixir-plug/plug,Brazil,"Specification and conveniences for composable modules between web applications"
plug_crypto,Apache-2.0,~> 2.0 (transitive),https://github.com/elixir-plug/plug_crypto,Brazil,"Cryptographic functions for Plug"
telemetry,Apache-2.0,~> 1.2 (transitive),https://github.com/beam-telemetry/telemetry,Poland,"Dynamic dispatching library for metrics and instrumentations"
